,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
104,Nerlens Noel,2014-15,83,1.821,76,0.844,4558
105,Nicolas Batum,2020-21,82,1.723,76,1.184,4758
106,Nikola Jokic,2019-20,81,1.360,76,0.789,5958
107,Thon Maker,2017-18,80,3.015,76,0.947,2653
108,Johnathan Williams,2018-19,79,10.286,74,1.080,768
109,Deandre Ayton,2018-19,79,1.749,76,0.684,4518
110,Anthony Davis,2019-20,78,1.296,76,1.000,6017
111,Bismack Biyombo,2019-20,78,3.854,76,1.026,2024
112,Dwight Powell,2016-17,78,3.121,74,0.865,2499
113,Marvin Williams,2018-19,77,1.777,72,1.055,4332
114,Damian Jones,2019-20,75,3.985,73,1.123,1882
115,Grant Williams,2020-21,75,3.067,73,1.233,2445
116,Brandon Bass,2015-16,74,2.787,69,0.942,2655
117,LaMarcus Aldridge,2016-17,74,1.369,67,0.910,5406
118,Willie Cauley-Stein,2019-20,74,3.286,63,0.828,2252
119,Marc Gasol,2016-17,74,1.408,72,0.750,5257
120,Serge Ibaka,2019-20,74,2.045,71,0.944,3618
121,Dewayne Dedmon,2018-19,73,2.149,68,0.783,3397
122,Clint Capela,2015-16,73,2.378,67,0.642,3070
123,Precious Achiuwa,2020-21,73,4.750,68,0.676,1537
124,Richaun Holmes,2018-19,73,2.989,63,0.794,2442
125,Anthony Davis,2016-17,73,1.329,64,0.953,5494
126,Marcin Gortat,2016-17,73,1.232,67,0.806,5927
127,Serge Ibaka,2013-14,72,1.126,69,1.000,6394
128,Miles Bridges,2020-21,72,1.776,68,0.912,4055
129,Ivica Zubac,2020-21,72,1.888,65,1.031,3813
130,Patrick Patterson,2020-21,72,6.128,65,0.877,1175
131,Thomas Bryant,2018-19,72,2.310,67,0.985,3117
132,Xavier Tillman,2020-21,71,3.035,65,0.815,2339
133,Jordan Bell,2017-18,70,3.471,66,1.000,2017
134,Jeff Green,2018-19,70,1.614,65,0.985,4337
135,Enes Freedom,2015-16,70,1.735,66,0.788,4034
136,Cristiano Felicio,2018-19,70,4.605,66,1.061,1520
137,Terrence Jones,2013-14,69,1.577,63,0.794,4375
138,Maxi Kleber,2017-18,69,2.877,68,0.912,2398
139,Grant Williams,2019-20,69,2.736,66,0.848,2522
140,Tyson Chandler,2014-15,69,1.423,62,0.774,4850
141,Anthony Davis,2015-16,68,1.560,61,1.115,4360
142,Julius Randle,2016-17,68,1.560,68,1.162,4360
143,Ian Mahinmi,2017-18,68,2.851,61,0.721,2385
144,Damian Jones,2018-19,68,7.935,60,1.017,857
145,Anthony Davis,2017-18,67,1.037,59,0.831,6463
146,Bismack Biyombo,2016-17,67,1.901,65,0.969,3525
147,Maxi Kleber,2018-19,67,2.185,64,1.094,3066
148,JJ Hickson,2014-15,67,2.377,62,0.887,2819
149,Jerami Grant,2017-18,66,1.885,61,1.033,3501
150,Robert Covington,2020-21,66,1.311,61,0.967,5035
151,Karl-Anthony Towns,2017-18,66,1.087,61,1.033,6070
152,Jakob Poeltl,2017-18,66,1.988,62,1.016,3320
153,Marvin Bagley III,2020-21,66,2.861,65,1.185,2307
154,Marc Gasol,2018-19,65,1.037,62,0.823,6269
155,Enes Freedom,2017-18,65,1.797,58,0.729,3618
156,Robin Lopez,2018-19,65,2.019,62,0.887,3219
157,Cody Zeller,2019-20,65,2.497,62,1.290,2603
158,Giannis Antetokounmpo,2017-18,65,1.094,60,0.933,5941
