,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
107,Joakim Noah,2014-15,124,17.010,108,0.963,729
108,DeAndre Jordan,2013-14,123,14.122,113,0.973,871
109,Taj Gibson,2020-21,122,46.212,111,1.071,264
110,Jeff Green,2019-20,121,17.460,103,0.779,693
111,David West,2016-17,121,27.626,101,0.842,438
112,Marc Gasol,2014-15,119,14.819,103,0.808,803
113,Derrick Favors,2020-21,119,39.933,98,1.130,298
114,Dwight Howard,2016-17,119,38.141,99,1.109,312
115,Ed Davis,2015-16,118,28.993,97,1.030,407
116,Tim Duncan,2015-16,116,28.293,101,0.856,410
117,Robin Lopez,2016-17,116,38.158,100,1.117,304
118,Joel Embiid,2019-20,114,40.714,99,1.111,280
119,Carmelo Anthony,2017-18,113,28.463,95,0.969,397
120,  Nene,2014-15,113,22.967,94,0.670,492
121,Andre Drummond,2020-21,113,45.935,90,0.901,246
122,Tiago Splitter,2013-14,113,11.426,94,0.916,989
123,Greg Monroe,2016-17,113,44.314,79,0.841,255
124,Mason Plumlee,2019-20,111,26.303,94,1.043,422
125,Udonis Haslem,2015-16,108,66.258,85,1.070,163
126,Al Horford,2017-18,108,8.295,97,0.897,1302
127,Ersan Ilyasova,2018-19,107,18.972,92,0.882,564
128,Kevin Garnett,2013-14,107,23.991,85,0.690,446
129,Myles Turner,2019-20,105,35.836,89,1.044,293
130,Serge Ibaka,2016-17,105,18.010,90,1.056,583
131,Daniel Gafford,2020-21,105,30.882,96,0.917,340
132,Thon Maker,2017-18,105,43.568,88,0.820,241
133,Festus Ezeli,2014-15,104,28.889,87,0.844,360
134,Marc Gasol,2020-21,104,63.415,82,1.096,164
135,Tyson Chandler,2014-15,102,30.178,84,0.944,338
136,Amar'e Stoudemire,2015-16,102,65.806,88,0.955,155
137,Kevin Love,2016-17,101,8.922,93,0.895,1132
138,Channing Frye,2016-17,99,32.890,86,1.102,301
139,Samuel Dalembert,2013-14,98,39.044,87,1.023,251
140,Robin Lopez,2020-21,97,46.635,77,0.859,208
141,Tim Duncan,2014-15,97,20.293,86,0.818,478
142,Mason Plumlee,2013-14,96,46.829,82,1.120,205
143,Paul Pierce,2013-14,96,14.480,72,0.781,663
144,Blake Griffin,2014-15,95,8.422,84,0.776,1128
145,Giannis Antetokounmpo,2017-18,94,17.407,82,1.024,540
146,Giannis Antetokounmpo,2018-19,92,8.622,79,0.888,1067
147,Paul Millsap,2014-15,92,8.364,80,0.716,1100
148,Ian Mahinmi,2013-14,92,20.490,73,0.880,449
149,Blake Griffin,2020-21,91,14.444,84,1.024,630
150,Draymond Green,2017-18,91,5.576,75,0.947,1632
151,Glen Davis,2014-15,91,30.333,75,0.831,300
152,Joakim Noah,2013-14,91,24.462,79,0.877,372
153,Kelly Olynyk,2019-20,90,17.476,77,1.026,515
154,  Nene,2016-17,89,26.647,73,1.013,334
155,Boban Marjanovic,2018-19,88,39.640,75,1.039,222
156,Myles Turner,2018-19,88,34.510,75,0.987,255
157,  Nene,2017-18,87,39.013,75,0.920,223
158,Enes Freedom,2019-20,86,43.000,72,1.000,200
159,Nikola Vucevic,2018-19,86,30.175,71,1.211,285
160,Marc Gasol,2016-17,86,20.188,74,0.946,426
161,Cody Zeller,2015-16,85,31.365,75,0.987,271
162,David Lee,2014-15,85,42.500,69,0.871,200
163,JaVale McGee,2016-17,85,26.730,75,0.987,318
164,Meyers Leonard,2018-19,84,24.419,72,0.986,344
165,Onyeka Okongwu,2020-21,84,25.075,77,0.962,335
166,Jusuf Nurkic,2019-20,84,19.535,76,1.104,430
167,Andre Drummond,2015-16,84,35.897,72,0.917,234
168,P.J. Tucker,2019-20,84,10.157,76,0.857,827
169,Derrick Favors,2017-18,83,14.310,73,1.079,580
170,Amir Johnson,2016-17,80,28.269,69,0.971,283
171,Udonis Haslem,2013-14,80,25.723,67,1.090,311
172,  Nene,2013-14,80,13.605,66,0.701,588
173,David West,2017-18,80,22.989,69,0.957,348
174,Jakob Poeltl,2017-18,77,28.102,58,0.557,274
175,Meyers Leonard,2014-15,76,38.579,63,0.813,197
176,Nerlens Noel,2020-21,76,41.304,62,1.095,184
177,Nicolas Batum,2020-21,76,7.076,67,1.090,1074
178,Mike Muscala,2014-15,75,38.462,64,0.791,195
179,Nikola Vucevic,2019-20,74,18.734,68,1.103,395
180,Draymond Green,2016-17,74,5.977,62,0.903,1238
181,David Lee,2013-14,74,17.412,69,0.812,425
182,Marc Gasol,2013-14,74,13.167,68,0.926,562
183,Mason Plumlee,2018-19,72,16.590,60,1.133,434
184,Nikola Mirotic,2017-18,71,10.503,59,0.917,676
185,Domantas Sabonis,2018-19,71,38.798,58,0.881,183
186,Myles Turner,2016-17,71,27.734,58,0.883,256
187,David West,2015-16,70,21.084,60,1.000,332
188,DeMarcus Cousins,2018-19,70,26.415,57,1.193,265
