,Season,Shots Attempted,Shots Attempted Per 100 Possessions,eFG%,qSP,qSM,Possessions (Total)
1,2013-14,3025,84.426,50.23,50.38,-0.15,3583
2,2014-15,1702,86.440,47.88,52.22,-4.34,1969
3,2015-16,2910,86.970,48.97,51.55,-2.58,3346
4,2016-17,3691,87.402,52.28,52.56,-0.28,4223
5,2017-18,4059,87.611,52.23,54.42,-2.19,4633
6,2018-19,3121,88.139,50.21,53.30,-3.10,3541
7,2019-20,4318,85.403,52.26,52.79,-0.54,5056
8,2020-21,4725,90.258,52.35,53.40,-1.06,5235
