Season,Shots Attempted,Shots Attempted Per 100 Possessions,eFG%,qSQ,qSI
2015-16,12767,97.794,45.66,48.13,-2.48
2020-21,11644,97.521,49.77,49.67,0.10
2016-17,11196,97.196,47.94,48.71,-0.77
2014-15,13281,97.190,44.94,47.74,-2.80
2018-19,12352,97.076,46.83,49.60,-2.77
2013-14,14081,96.923,46.08,47.03,-0.95
2021-22,11266,96.812,48.62,50.19,-1.57
2017-18,10820,96.016,47.79,50.36,-2.57
2019-20,10535,95.478,49.61,50.22,-0.60
