Season,Shots Attempted,Shots Attempted Per 100 Possessions,eFG%,qSQ,qSI
2020-21,5518,97.906,48.36,49.40,-1.04
2018-19,3189,95.708,45.74,49.94,-4.21
2016-17,3226,95.500,48.00,48.82,-0.82
2014-15,1613,95.331,43.86,49.00,-5.14
2017-18,4118,94.950,48.17,51.07,-2.90
2015-16,2773,94.642,44.61,48.10,-3.49
2021-22,5641,93.782,49.11,51.18,-2.07
2019-20,5044,93.546,47.64,50.52,-2.88
2013-14,1512,92.477,45.47,48.17,-2.70
