Season,Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff
2020-21,Dallas Mavericks,11,2.4,42,30,58.30%,46.9,41.2,11,0.8,8,116,21,113.7,20,-0.4
2020-21,Brooklyn Nets,5,5.6,48,24,66.70%,54.4,47.7,14,0.3,1,119.4,22,113.7,12,0.9
2020-21,New Orleans Pelicans,18,-0.7,31,41,43.10%,39.2,34.4,27,-3.4,11,113.8,23,114.5,19,-0.3
2020-21,Orlando Magic,29,-9.3,21,51,29.20%,19.3,17,2,4,29,105.5,24,114.8,30,-3.4
2020-21,Oklahoma City Thunder,30,-11.1,22,50,30.60%,16,14,1,8,30,103.8,25,114.9,29,-2.9
2020-21,Cleveland Cavaliers,28,-8.6,22,50,30.60%,20.5,18,3,4,28,106.2,26,114.9,27,-2.2
2020-21,Houston Rockets,27,-8.4,17,55,23.60%,21.1,18.6,23,-1.6,27,107.7,27,116.1,28,-2.6
2020-21,Minnesota Timberwolves,26,-5.9,23,49,31.90%,26.6,23.4,16,-0.4,25,110.2,28,116.1,21,-0.5
2020-21,Portland Trail Blazers,12,2.1,42,30,58.30%,46.1,40.5,10,1.5,2,118.9,29,116.8,15,0.1
2020-21,Sacramento Kings,24,-3.7,31,41,43.10%,32,28.1,5,2.9,12,113.7,30,117.4,25,-1.7
2019-20,Milwaukee Bucks,1,9.9,56,17,76.70%,64.3,57.2,20,-1.2,6,113,1,103.1,7,1.1
2019-20,Toronto Raptors,4,6,53,19,73.60%,56.1,49.3,4,3.7,15,111.3,2,105.3,1,3.2
2019-20,Boston Celtics,2,7.4,48,24,66.70%,59,51.8,26,-3.8,4,113.9,3,106.5,2,2.7
2019-20,Los Angeles Lakers,5,5.8,52,19,73.20%,55.4,48,3,4,10,112.4,4,106.7,20,-0.6
2019-20,LA Clippers,3,6.9,49,23,68.10%,57.9,50.8,21,-1.8,2,114.4,5,107.4,8,0.9
2019-20,Indiana Pacers,11,2.4,45,28,61.60%,47.2,42,6,3,18,110.6,6,108.2,11,0.2
2019-20,Oklahoma City Thunder,12,2.1,44,28,61.10%,46.5,40.9,5,3.1,16,111.2,7,109.1,5,1.8
