,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
374,Zaza Pachulia,2018-19,696,38.474,575,0.950,1809
375,Brandan Wright,2014-15,696,24.344,602,0.836,2859
376,Kelly Olynyk,2020-21,695,16.865,605,1.079,4121
377,Zach Randolph,2015-16,694,17.153,585,0.904,4046
378,Mason Plumlee,2013-14,691,26.354,580,0.951,2622
379,John Henson,2013-14,690,19.850,603,0.938,3476
380,Khem Birch,2020-21,689,22.105,589,0.904,3117
381,Cristiano Felicio,2017-18,688,35.174,560,1.030,1956
382,Kosta Koufos,2013-14,687,26.332,575,0.858,2609
383,JJ Hickson,2013-14,686,18.288,592,0.923,3751
384,Zaza Pachulia,2013-14,686,27.342,605,0.928,2509
385,Myles Turner,2015-16,683,21.710,561,0.906,3146
386,Jusuf Nurkic,2014-15,681,30.940,568,0.892,2201
387,Zach Randolph,2017-18,677,22.980,558,1.054,2946
388,DeJuan Blair,2013-14,672,26.057,585,0.961,2579
389,Dario Saric,2020-21,671,32.812,581,0.933,2045
390,Ian Mahinmi,2014-15,670,30.194,575,0.906,2219
391,Brandon Bass,2015-16,668,25.160,581,0.855,2655
392,Kevin Love,2013-14,667,11.659,561,0.865,5721
393,Amar'e Stoudemire,2013-14,665,24.767,565,1.012,2685
394,Pau Gasol,2013-14,665,17.201,596,0.822,3866
395,Anthony Davis,2019-20,664,11.035,583,0.832,6017
396,Blake Griffin,2013-14,662,10.030,562,0.917,6600
397,Derrick Favors,2016-17,660,24.812,562,1.014,2660
398,Miles Plumlee,2014-15,658,27.834,571,0.839,2364
399,Al Jefferson,2016-17,656,36.103,567,0.953,1817
400,Boban Marjanovic,2018-19,655,39.482,563,0.919,1659
401,Zaza Pachulia,2017-18,655,31.688,566,0.990,2067
402,Dirk Nowitzki,2013-14,654,11.748,566,0.923,5567
403,Tyson Chandler,2016-17,653,26.006,567,0.997,2511
404,Anthony Davis,2015-16,653,14.977,544,0.897,4360
405,Omer Asik,2013-14,651,28.590,553,0.916,2277
406,Derrick Favors,2015-16,651,17.472,577,0.819,3726
407,Bobby Portis,2017-18,648,19.390,544,1.013,3342
408,Jaren Jackson Jr.,2019-20,647,18.651,555,0.981,3469
409,DeMarcus Cousins,2020-21,646,40.502,555,0.907,1595
410,Festus Ezeli,2015-16,646,32.171,540,0.843,2008
411,Miles Plumlee,2017-18,645,34.382,555,0.889,1876
412,Dwight Powell,2020-21,645,31.540,566,0.873,2045
413,Dwight Powell,2016-17,645,25.810,538,0.991,2499
414,David West,2013-14,638,10.696,541,0.806,5965
415,Meyers Leonard,2018-19,637,30.047,543,1.005,2120
416,Timofey Mozgov,2016-17,637,28.655,561,0.933,2223
417,Draymond Green,2018-19,636,10.409,540,0.873,6110
418,Mitchell Robinson,2020-21,636,37.902,535,0.943,1678
419,Dewayne Dedmon,2019-20,636,40.330,540,0.978,1577
420,Christian Wood,2020-21,636,22.944,550,0.891,2772
421,Tiago Splitter,2013-14,635,18.045,554,0.862,3519
422,Moses Brown,2020-21,632,32.245,540,1.036,1960
423,Zach Randolph,2013-14,632,11.641,540,0.899,5429
424,  Nene,2017-18,632,35.486,531,0.905,1781
425,Bismack Biyombo,2013-14,626,29.981,533,0.824,2088
426,Cody Zeller,2020-21,623,29.415,545,1.020,2118
427,Willy Hernangomez,2018-19,622,36.761,532,1.007,1692
428,Amir Johnson,2014-15,622,15.332,538,0.919,4057
