Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Wendell Carter Jr.,2021-22,740,19.412,637,0.983,3812,d0c66dcc-5165-458c-a443-ebe8ee6da4b3
Aron Baynes,2020-21,739,36.693,643,0.960,2014,ff413e73-89ef-11e6-a5df-a45e60e298d3
Tristan Thompson,2017-18,739,33.698,634,1.069,2193,ff41f1fa-89ef-11e6-a048-a45e60e298d3
DeJuan Blair,2013-14,739,31.353,610,0.909,2357,ff411c14-89ef-11e6-b163-a45e60e298d3
Miles Plumlee,2014-15,739,31.703,628,0.860,2331,ff410780-89ef-11e6-8115-a45e60e298d3
John Henson,2016-17,738,34.009,610,0.895,2170,ff429917-89ef-11e6-97c2-a45e60e298d3
Daniel Theis,2020-21,736,22.786,604,0.935,3230,64c01255-432f-4e9b-a475-6f8c38e8e882
Cristiano Felicio,2017-18,736,37.666,596,1.015,1954,ff410d63-89ef-11e6-9df8-a45e60e298d3
Jusuf Nurkic,2014-15,736,33.485,610,0.881,2198,ff42622b-89ef-11e6-9088-a45e60e298d3
Tristan Thompson,2019-20,734,20.882,625,0.918,3515,ff41f1fa-89ef-11e6-a048-a45e60e298d3
LaMarcus Aldridge,2021-22,733,33.904,631,0.967,2162,ff4291dc-89ef-11e6-8416-a45e60e298d3
Willie Reed,2016-17,732,35.707,618,0.908,2050,ff42edbd-89ef-11e6-b56b-a45e60e298d3
DeMarcus Cousins,2018-19,732,45.185,610,0.893,1620,ff41c6d1-89ef-11e6-a1ca-a45e60e298d3
Tyler Zeller,2017-18,732,34.957,630,0.887,2094,ff4287f3-89ef-11e6-ad05-a45e60e298d3
Alex Len,2019-20,730,35.489,613,0.947,2057,ff42c0ee-89ef-11e6-b9df-a45e60e298d3
Jakob Poeltl,2019-20,728,29.787,610,0.961,2444,ca6b7e96-9060-4d5a-8bef-1a8b6ab230ec
JJ Hickson,2014-15,728,25.880,602,0.882,2813,ff426a87-89ef-11e6-b954-a45e60e298d3
Larry Nance Jr.,2018-19,727,20.381,630,1.022,3567,ff410bab-89ef-11e6-856b-a45e60e298d3
Naz Reid,2020-21,726,25.654,610,1.005,2830,6c971d53-3cd2-452e-af3e-bef339ad3929
Marc Gasol,2020-21,721,35.693,596,0.910,2020,ff420730-89ef-11e6-bafd-a45e60e298d3
David West,2013-14,719,15.462,575,0.829,4650,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Bismack Biyombo,2013-14,718,36.558,583,0.828,1964,ff401757-89ef-11e6-994b-a45e60e298d3
Derrick Favors,2020-21,717,33.757,609,0.940,2124,ff4036a1-89ef-11e6-a631-a45e60e298d3
Tristan Thompson,2020-21,714,27.262,610,0.989,2619,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Richaun Holmes,2021-22,714,32.366,604,0.994,2206,ff4271de-89ef-11e6-83dc-a45e60e298d3
Bobby Portis,2017-18,713,21.360,592,1.023,3338,ff41f651-89ef-11e6-95ed-a45e60e298d3
David West,2017-18,710,36.807,589,0.927,1929,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Markieff Morris,2014-15,708,13.844,588,0.814,5114,ff41cb11-89ef-11e6-8285-a45e60e298d3
Daniel Theis,2018-19,706,37.256,592,0.854,1895,64c01255-432f-4e9b-a475-6f8c38e8e882
David West,2015-16,705,25.758,584,0.903,2737,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Meyers Leonard,2019-20,701,33.493,607,0.925,2093,ff416f5c-89ef-11e6-9530-a45e60e298d3
Robert Sacre,2014-15,700,31.862,584,0.891,2197,ff42242e-89ef-11e6-b859-a45e60e298d3
Xavier Tillman,2020-21,699,31.317,576,0.909,2232,6f81f6a8-9bdf-45e7-b034-e889bce73ce3
Tristan Thompson,2013-14,695,14.245,583,0.971,4879,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Mason Plumlee,2019-20,693,31.804,567,0.948,2179,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Nerlens Noel,2019-20,693,30.395,571,0.967,2280,ff41260a-89ef-11e6-a369-a45e60e298d3
Marquese Chriss,2019-20,693,27.820,597,0.970,2491,9508237c-85e2-4121-b4da-f11687f79fdf
Mason Plumlee,2013-14,692,29.015,567,0.938,2385,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Taj Gibson,2019-20,690,33.414,596,1.007,2065,ff42877a-89ef-11e6-a6cd-a45e60e298d3
Omer Asik,2013-14,690,35.439,572,0.882,1947,ff41a7d7-89ef-11e6-a4f9-a45e60e298d3
LaMarcus Aldridge,2014-15,689,14.096,596,0.781,4888,ff4291dc-89ef-11e6-8416-a45e60e298d3
Bismack Biyombo,2019-20,688,33.992,581,0.961,2024,ff401757-89ef-11e6-994b-a45e60e298d3
Al Jefferson,2016-17,688,37.885,590,0.944,1816,ff42d721-89ef-11e6-a9ef-a45e60e298d3
Tyson Chandler,2016-17,687,27.392,589,0.985,2508,ff41601e-89ef-11e6-a4cc-a45e60e298d3
Kelly Olynyk,2014-15,686,24.526,579,0.793,2797,ff426326-89ef-11e6-a607-a45e60e298d3
Timofey Mozgov,2016-17,685,30.856,598,0.939,2220,ff41d8a1-89ef-11e6-a2c8-a45e60e298d3
Willy Hernangomez,2020-21,682,38.272,564,1.080,1782,cc8b058c-1df3-4fb6-9c8c-69bfbcdb9c6d
Jason Thompson,2014-15,679,17.370,565,0.928,3909,ff41874c-89ef-11e6-9279-a45e60e298d3
Dwight Powell,2016-17,678,27.174,564,1.012,2495,ff41d302-89ef-11e6-b0a0-a45e60e298d3
Giannis Antetokounmpo,2021-22,674,14.620,573,1.010,4610,ff423b75-89ef-11e6-a507-a45e60e298d3
Richaun Holmes,2016-17,671,27.265,572,0.936,2461,ff4271de-89ef-11e6-83dc-a45e60e298d3
Tristan Thompson,2021-22,669,37.167,554,0.979,1800,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Zaza Pachulia,2018-19,668,37.890,555,0.982,1763,ff403f19-89ef-11e6-8e8d-a45e60e298d3
Kristaps Porzingis,2020-21,667,24.981,554,0.982,2670,ff419e8c-89ef-11e6-826f-a45e60e298d3
Jaren Jackson Jr.,2019-20,666,19.199,568,0.998,3469,9b2369c7-8445-48db-9fb5-99c10ec4b942
Naz Reid,2021-22,665,26.017,554,0.932,2556,6c971d53-3cd2-452e-af3e-bef339ad3929
Jaxson Hayes,2020-21,665,32.856,545,1.043,2024,21156095-81be-4153-84f8-e93977e50b51
Khem Birch,2020-21,664,21.303,570,0.906,3117,57554ed9-0c8b-44cc-9673-827e94e5239f
Serge Ibaka,2020-21,664,35.003,567,1.031,1897,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Amir Johnson,2014-15,664,17.319,567,0.905,3834,ff4157f5-89ef-11e6-be80-a45e60e298d3
Tarik Black,2016-17,659,29.725,571,0.827,2217,ff414c70-89ef-11e6-80db-a45e60e298d3
Greg Stiemsma,2013-14,659,35.035,532,0.823,1881,ff425563-89ef-11e6-8324-a45e60e298d3
Dirk Nowitzki,2016-17,659,24.335,556,0.924,2708,ff411411-89ef-11e6-8f83-a45e60e298d3
Kristaps Porzingis,2021-22,658,22.381,569,0.986,2940,ff419e8c-89ef-11e6-826f-a45e60e298d3
Dewayne Dedmon,2021-22,657,30.961,539,0.940,2122,ff41de23-89ef-11e6-a0fc-a45e60e298d3
Dewayne Dedmon,2017-18,656,21.672,557,0.952,3027,ff41de23-89ef-11e6-a0fc-a45e60e298d3
Dirk Nowitzki,2014-15,652,14.715,565,0.927,4431,ff411411-89ef-11e6-8f83-a45e60e298d3
Spencer Hawes,2015-16,652,31.789,545,0.822,2051,ff412eca-89ef-11e6-8c22-a45e60e298d3
Chris Bosh,2014-15,650,22.445,555,0.892,2896,ff41dff8-89ef-11e6-a60d-a45e60e298d3
Miles Plumlee,2017-18,650,36.091,551,0.904,1801,ff410780-89ef-11e6-8115-a45e60e298d3
  Nene,2013-14,649,21.859,524,0.934,2969,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Andrea Bargnani,2013-14,648,28.597,534,0.955,2266,ff41cd9e-89ef-11e6-bd78-a45e60e298d3
Nerlens Noel,2016-17,648,31.049,560,0.944,2087,ff41260a-89ef-11e6-a369-a45e60e298d3
Glen Davis,2013-14,647,20.697,540,0.871,3126,ff415440-89ef-11e6-aac5-a45e60e298d3
Robin Lopez,2019-20,647,30.927,554,0.921,2092,ff425eb3-89ef-11e6-9fb5-a45e60e298d3
Kelly Olynyk,2020-21,647,15.692,564,1.068,4123,ff426326-89ef-11e6-a607-a45e60e298d3
Cristiano Felicio,2016-17,646,31.558,546,0.975,2047,ff410d63-89ef-11e6-9df8-a45e60e298d3
Khem Birch,2021-22,645,33.026,560,1.042,1953,57554ed9-0c8b-44cc-9673-827e94e5239f
David Lee,2013-14,644,14.636,520,0.774,4400,ff41bc0a-89ef-11e6-8b1d-a45e60e298d3
Dirk Nowitzki,2013-14,643,12.940,542,0.894,4969,ff411411-89ef-11e6-8f83-a45e60e298d3
Evan Mobley,2021-22,643,13.888,544,1.029,4630,c5188d06-f3c3-46b5-a539-1fc037f82b08
Amir Johnson,2013-14,642,15.911,536,0.851,4035,ff4157f5-89ef-11e6-be80-a45e60e298d3
Zach Randolph,2014-15,641,14.800,538,0.851,4331,ff423145-89ef-11e6-8a8a-a45e60e298d3
Aron Baynes,2014-15,641,28.978,541,0.824,2212,ff413e73-89ef-11e6-a5df-a45e60e298d3
Tyler Zeller,2013-14,640,32.000,552,0.885,2000,ff4287f3-89ef-11e6-ad05-a45e60e298d3
Larry Nance Jr.,2017-18,640,21.910,545,0.865,2921,ff410bab-89ef-11e6-856b-a45e60e298d3
Jason Smith,2014-15,640,19.099,531,0.968,3351,ff42bb1c-89ef-11e6-91a1-a45e60e298d3
