Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
JaVale McGee,2017-18,128,8.153,120,0.967,1570,ff41d4eb-89ef-11e6-8055-a45e60e298d3
Giannis Antetokounmpo,2021-22,127,2.300,115,0.905,5522,ff423b75-89ef-11e6-a507-a45e60e298d3
Zaza Pachulia,2016-17,126,4.106,115,0.757,3069,ff403f19-89ef-11e6-8e8d-a45e60e298d3
Brandon Clarke,2021-22,125,3.797,112,0.973,3292,8c8c43ec-1dc2-4cf0-a68b-641c8fb6e45d
Steven Adams,2018-19,124,2.065,118,0.907,6004,ff420623-89ef-11e6-9b37-a45e60e298d3
Jeff Green,2020-21,124,3.012,112,1.106,4117,ff4177f3-89ef-11e6-95d8-a45e60e298d3
Draymond Green,2015-16,121,1.587,115,0.817,7623,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Draymond Green,2014-15,119,1.791,111,0.919,6644,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Damian Jones,2021-22,118,5.712,108,0.926,2066,ff42a38f-89ef-11e6-bb34-a45e60e298d3
Bobby Portis,2020-21,117,3.207,106,0.880,3648,ff41f651-89ef-11e6-95ed-a45e60e298d3
Jaren Jackson Jr.,2021-22,117,2.298,113,0.904,5091,9b2369c7-8445-48db-9fb5-99c10ec4b942
David West,2016-17,116,5.500,111,0.973,2109,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Cody Zeller,2020-21,116,5.482,107,0.944,2116,ff42a38f-89ef-11e6-bb6d-a45e60e298d3
P.J. Tucker,2017-18,114,2.030,108,0.833,5617,ff41362b-89ef-11e6-babd-a45e60e298d3
Montrezl Harrell,2019-20,114,2.698,101,1.040,4225,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Alperen Sengun,2021-22,114,3.716,103,0.835,3068,921d0103-6fc4-4e96-b01d-11d4765dcf10
Marvin Bagley III,2021-22,113,4.890,102,0.846,2311,4741eab0-ea4a-4b05-be5b-1739cb2610bd
Montrezl Harrell,2021-22,112,3.349,103,1.000,3344,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Christian Wood,2020-21,111,4.004,104,1.029,2772,ff4290f8-89ef-11e6-8dd1-a45e60e298d3
Montrezl Harrell,2017-18,111,4.176,97,0.722,2658,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
Clint Capela,2016-17,111,2.970,103,1.212,3738,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Robert Williams III,2021-22,107,2.446,100,0.900,4375,79b83f96-5723-4219-b521-57de6111ee97
Patrick Patterson,2017-18,106,4.242,100,0.850,2499,ff4174a1-89ef-11e6-a875-a45e60e298d3
Kevon Looney,2020-21,106,4.226,101,0.794,2508,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Joel Embiid,2018-19,106,2.061,98,0.980,5143,ff42281e-89ef-11e6-8097-a45e60e298d3
Tristan Thompson,2015-16,105,1.889,97,0.796,5558,ff41f1fa-89ef-11e6-a048-a45e60e298d3
Mason Plumlee,2021-22,104,2.777,100,0.930,3745,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Brook Lopez,2020-21,104,1.939,96,0.979,5363,ff423f0c-89ef-11e6-99c1-a45e60e298d3
  Nene,2016-17,104,3.636,98,0.694,2860,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Giannis Antetokounmpo,2020-21,104,1.778,98,0.918,5849,ff423b75-89ef-11e6-a507-a45e60e298d3
Mason Plumlee,2018-19,102,2.603,96,0.885,3918,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Al Horford,2018-19,102,2.179,98,1.133,4681,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Marquese Chriss,2019-20,102,4.095,95,0.947,2491,9508237c-85e2-4121-b4da-f11687f79fdf
Steven Adams,2016-17,101,1.959,94,0.798,5155,ff420623-89ef-11e6-9b37-a45e60e298d3
Nerlens Noel,2018-19,101,4.384,92,0.891,2304,ff41260a-89ef-11e6-a369-a45e60e298d3
DeAndre Jordan,2015-16,100,1.801,96,0.865,5553,ff401ff8-89ef-11e6-99ab-a45e60e298d3
DeAndre Jordan,2018-19,100,2.384,93,1.011,4194,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Kenneth Faried,2018-19,99,6.122,91,0.890,1617,ff413559-89ef-11e6-9991-a45e60e298d3
Joel Embiid,2017-18,99,2.306,93,0.892,4294,ff42281e-89ef-11e6-8097-a45e60e298d3
Montrezl Harrell,2016-17,99,4.453,92,1.087,2223,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
  Nene,2018-19,98,8.086,88,0.875,1212,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Isaiah Stewart,2020-21,98,3.319,90,0.922,2953,cd722d73-c966-4c98-a6c2-2ad805d5beba
Zaza Pachulia,2017-18,97,4.833,90,1.022,2007,ff403f19-89ef-11e6-8e8d-a45e60e298d3
Steven Adams,2015-16,96,1.883,90,0.744,5098,ff420623-89ef-11e6-9b37-a45e60e298d3
Mitchell Robinson,2019-20,96,3.301,87,1.057,2908,1df5e769-640e-4589-b879-cd4e2885eaf1
Jordan Bell,2018-19,96,5.229,91,0.835,1836,07a35d50-2dd1-4476-a9ac-b6e7154ce069
Nikola Jokic,2018-19,95,1.564,89,1.011,6074,ff41306e-89ef-11e6-8903-a45e60e298d3
Dwight Powell,2017-18,95,2.936,88,1.000,3236,ff41d302-89ef-11e6-b0a0-a45e60e298d3
Bobby Portis,2018-19,94,3.571,89,1.202,2632,ff41f651-89ef-11e6-95ed-a45e60e298d3
Brook Lopez,2017-18,94,2.612,88,0.943,3599,ff423f0c-89ef-11e6-99c1-a45e60e298d3
DeAndre Jordan,2014-15,93,1.436,86,0.907,6478,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Wendell Carter Jr.,2018-19,92,4.170,86,0.849,2206,d0c66dcc-5165-458c-a443-ebe8ee6da4b3
Andre Drummond,2018-19,92,1.647,85,1.188,5587,ff415268-89ef-11e6-a137-a45e60e298d3
Jeff Green,2017-18,91,1.922,84,1.036,4734,ff4177f3-89ef-11e6-95d8-a45e60e298d3
JaVale McGee,2018-19,91,2.550,87,0.874,3569,ff41d4eb-89ef-11e6-8055-a45e60e298d3
Serge Ibaka,2013-14,90,1.427,87,0.908,6306,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Serge Ibaka,2018-19,90,1.765,85,0.929,5099,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Cody Zeller,2018-19,89,3.481,82,1.244,2557,ff42a38f-89ef-11e6-bb6d-a45e60e298d3
Noah Vonleh,2018-19,87,2.484,75,0.973,3503,ff41224a-89ef-11e6-98eb-a45e60e298d3
P.J. Tucker,2018-19,87,1.340,79,0.823,6491,ff41362b-89ef-11e6-babd-a45e60e298d3
Kelly Olynyk,2020-21,87,2.110,84,0.964,4123,ff426326-89ef-11e6-a607-a45e60e298d3
Noah Vonleh,2016-17,86,3.170,80,1.012,2713,ff41224a-89ef-11e6-98eb-a45e60e298d3
Mason Plumlee,2020-21,85,2.817,76,1.039,3017,ff42c76e-89ef-11e6-a19d-a45e60e298d3
DeMarcus Cousins,2018-19,85,4.509,79,1.089,1885,ff41c6d1-89ef-11e6-a1ca-a45e60e298d3
Mason Plumlee,2019-20,85,3.268,78,0.899,2601,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Serge Ibaka,2015-16,85,1.365,79,0.797,6227,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Evan Mobley,2021-22,84,1.760,77,1.247,4772,c5188d06-f3c3-46b5-a539-1fc037f82b08
Deandre Ayton,2020-21,84,1.448,79,1.253,5802,cc834b28-2371-40e2-a29e-68e58259ed63
Draymond Green,2020-21,84,1.909,78,1.077,4401,ff41a38c-89ef-11e6-b14d-a45e60e298d3
