Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Serge Ibaka,2018-19,10,1.011,10,0.700,989,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Andrew Bogut,2014-15,10,1.183,8,1.000,845,ff421e2b-89ef-11e6-a705-a45e60e298d3
JaVale McGee,2016-17,10,3.155,10,1.300,317,ff41d4eb-89ef-11e6-8055-a45e60e298d3
Dwight Howard,2015-16,10,2.833,9,0.667,353,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Clint Capela,2014-15,10,3.690,10,0.800,271,ff414a2b-89ef-11e6-a46a-a45e60e298d3
James Harden,2017-18,10,0.821,9,1.000,1218,ff42a0d4-89ef-11e6-9944-a45e60e298d3
DeAndre Jordan,2016-17,10,2.053,10,0.700,487,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Kyle Anderson,2021-22,10,2.132,9,0.667,469,ff42ce05-89ef-11e6-b640-a45e60e298d3
Andrew Bogut,2018-19,10,2.762,8,0.333,362,ff421e2b-89ef-11e6-a705-a45e60e298d3
Tim Duncan,2013-14,10,0.702,9,1.667,1425,ff42a05c-89ef-11e6-a675-a45e60e298d3
Daniel Theis,2021-22,10,2.439,8,0.000,410,64c01255-432f-4e9b-a475-6f8c38e8e882
Brandan Wright,2013-14,9,5.233,8,0.875,172,ff428868-89ef-11e6-acd6-a45e60e298d3
Giannis Antetokounmpo,2019-20,9,1.557,8,1.000,578,ff423b75-89ef-11e6-a507-a45e60e298d3
Kenneth Faried,2018-19,9,7.895,8,0.875,114,ff413559-89ef-11e6-9991-a45e60e298d3
Myles Turner,2018-19,9,3.529,7,1.000,255,ff41bc78-89ef-11e6-a5bf-a45e60e298d3
Kawhi Leonard,2019-20,9,0.869,9,1.000,1036,ff427a33-89ef-11e6-ab99-a45e60e298d3
Brook Lopez,2019-20,9,1.349,9,0.889,667,ff423f0c-89ef-11e6-99c1-a45e60e298d3
DeAndre Jordan,2015-16,9,2.320,9,0.778,388,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Bobby Portis,2021-22,9,1.485,9,0.556,606,ff41f651-89ef-11e6-95ed-a45e60e298d3
Montrezl Harrell,2019-20,9,1.772,8,1.500,508,ff42b4e8-89ef-11e6-a75d-a45e60e298d3
P.J. Tucker,2020-21,9,0.657,9,0.778,1369,ff41362b-89ef-11e6-babd-a45e60e298d3
Mike Muscala,2016-17,9,5.488,7,0.625,164,ff421b63-89ef-11e6-8715-a45e60e298d3
David Lee,2014-15,9,4.500,9,0.222,200,ff41bc0a-89ef-11e6-8b1d-a45e60e298d3
Bismack Biyombo,2015-16,9,0.969,7,1.000,929,ff401757-89ef-11e6-994b-a45e60e298d3
Kevin Durant,2013-14,9,0.575,8,1.125,1566,ff42cfdc-89ef-11e6-8347-a45e60e298d3
Harrison Barnes,2015-16,9,0.609,8,0.625,1477,ff42689e-89ef-11e6-ba3e-a45e60e298d3
Trevor Ariza,2020-21,9,4.433,9,0.889,203,ff41881e-89ef-11e6-ab27-a45e60e298d3
Mason Plumlee,2018-19,9,2.074,9,0.889,434,ff42c76e-89ef-11e6-a19d-a45e60e298d3
JaMychal Green,2016-17,9,4.286,9,0.667,210,ff42e921-89ef-11e6-a705-a45e60e298d3
Nikola Vucevic,2021-22,8,2.151,7,1.286,372,ff4220dc-89ef-11e6-83c6-a45e60e298d3
Jordan Bell,2017-18,8,2.381,7,1.143,336,07a35d50-2dd1-4476-a9ac-b6e7154ce069
Jarrett Allen,2021-22,8,11.429,8,1.625,70,330616b8-1619-4685-93e8-26ce79ee94df
Thaddeus Young,2021-22,8,4.678,8,1.375,171,ff42dffd-89ef-11e6-a58a-a45e60e298d3
Andre Iguodala,2019-20,8,0.941,6,1.143,850,ff41b642-89ef-11e6-8ec0-a45e60e298d3
Marcin Gortat,2016-17,8,0.998,8,1.375,802,ff4206b0-89ef-11e6-a91d-a45e60e298d3
Myles Turner,2019-20,8,2.730,7,0.714,293,ff41bc78-89ef-11e6-a5bf-a45e60e298d3
  Nene,2016-17,8,2.402,7,0.286,333,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Pero Antic,2014-15,8,2.025,8,0.875,395,ff411d4a-89ef-11e6-968b-a45e60e298d3
Gerald Green,2016-17,8,2.168,8,1.500,369,ff415a3a-89ef-11e6-a0bf-a45e60e298d3
O.G. Anunoby,2019-20,7,0.886,7,1.000,790,4603eded-4510-46ea-bd45-33456d037024
Glen Davis,2014-15,7,2.333,6,0.667,300,ff415440-89ef-11e6-aac5-a45e60e298d3
Jae Crowder,2020-21,7,0.483,7,1.143,1449,ff4213a6-89ef-11e6-89ce-a45e60e298d3
Steven Adams,2016-17,7,2.194,6,0.667,319,ff420623-89ef-11e6-9b37-a45e60e298d3
Channing Frye,2016-17,7,2.326,7,0.857,301,ff402140-89ef-11e6-aa13-a45e60e298d3
Jusuf Nurkic,2019-20,7,1.628,7,1.429,430,ff42622b-89ef-11e6-9088-a45e60e298d3
Marvin Williams,2019-20,7,1.842,6,0.833,380,ff411c78-89ef-11e6-a99e-a45e60e298d3
Rashard Lewis,2013-14,7,1.213,7,0.429,577,ff427263-89ef-11e6-bede-a45e60e298d3
Jusuf Nurkic,2020-21,7,2.035,6,1.667,344,ff42622b-89ef-11e6-9088-a45e60e298d3
LaMarcus Aldridge,2015-16,7,1.084,7,1.000,646,ff4291dc-89ef-11e6-8416-a45e60e298d3
Luol Deng,2015-16,7,0.760,7,0.714,921,ff4296de-89ef-11e6-9961-a45e60e298d3
Al Horford,2016-17,7,0.599,7,1.000,1169,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
David West,2013-14,7,0.555,7,0.857,1262,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Deandre Ayton,2020-21,7,0.445,7,2.000,1572,cc834b28-2371-40e2-a29e-68e58259ed63
Markieff Morris,2019-20,7,0.913,7,1.143,767,ff41cb11-89ef-11e6-8285-a45e60e298d3
Marcus Smart,2017-18,7,0.788,6,0.571,888,ff411907-89ef-11e6-9c68-a45e60e298d3
Shawn Marion,2013-14,7,1.847,6,1.667,379,ff429991-89ef-11e6-a91a-a45e60e298d3
LeBron James,2014-15,7,0.444,7,1.857,1577,ff41e9f0-89ef-11e6-87b7-a45e60e298d3
Klay Thompson,2021-22,7,0.442,7,0.286,1585,ff41a31e-89ef-11e6-8405-a45e60e298d3
Tarik Black,2017-18,7,17.949,7,1.143,39,ff414c70-89ef-11e6-80db-a45e60e298d3
Kevin Durant,2016-17,6,0.542,5,1.200,1107,ff42cfdc-89ef-11e6-8347-a45e60e298d3
David Lee,2013-14,6,1.412,5,1.400,425,ff41bc0a-89ef-11e6-8b1d-a45e60e298d3
Bam Adebayo,2020-21,6,2.113,5,1.200,284,61fc6b15-5ce2-4613-a67b-f15bada3aa57
Al-Farouq Aminu,2016-17,6,2.521,6,0.833,238,ff41c24a-89ef-11e6-9d40-a45e60e298d3
Rudy Gobert,2017-18,6,0.782,6,0.667,767,ff42a142-89ef-11e6-8c3b-a45e60e298d3
Al Horford,2015-16,6,0.919,6,0.667,653,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Clint Capela,2015-16,6,6.316,6,0.333,95,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Tobias Harris,2021-22,6,0.683,6,1.167,879,ff42df0c-89ef-11e6-b53b-a45e60e298d3
Udonis Haslem,2013-14,6,1.942,6,1.833,309,ff413211-89ef-11e6-8e43-a45e60e298d3
Reggie Jackson,2020-21,6,0.500,6,0.667,1199,ff423c7a-89ef-11e6-94b0-a45e60e298d3
Kevin Love,2016-17,6,0.530,6,1.000,1132,ff42aecf-89ef-11e6-8cb8-a45e60e298d3
Robert Williams III,2021-22,6,0.777,6,0.667,772,79b83f96-5723-4219-b521-57de6111ee97
Marc Gasol,2016-17,6,1.408,6,0.833,426,ff420730-89ef-11e6-bafd-a45e60e298d3
James Harden,2018-19,6,0.701,5,0.800,856,ff42a0d4-89ef-11e6-9944-a45e60e298d3
Nemanja Bjelica,2021-22,6,2.041,6,1.500,294,ff4248a8-89ef-11e6-9a62-a45e60e298d3
Xavier Tillman,2020-21,6,5.607,6,1.000,107,6f81f6a8-9bdf-45e7-b034-e889bce73ce3
Joe Johnson,2015-16,6,0.656,6,0.500,914,ff420245-89ef-11e6-a51a-a45e60e298d3
Pascal Siakam,2018-19,6,0.342,5,0.000,1752,3ebb6711-5a0a-4810-922a-9ac3826ad193
Mike Scott,2017-18,6,2.353,6,1.167,255,ff4161eb-89ef-11e6-a423-a45e60e298d3
Jaylen Brown,2021-22,6,0.331,6,1.167,1810,a6904c1c-0dc5-41c8-a618-b3a276131726
Marcus Smart,2021-22,6,0.396,6,0.167,1515,ff411907-89ef-11e6-9c68-a45e60e298d3
Draymond Green,2013-14,6,1.319,6,1.000,455,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Zaza Pachulia,2017-18,6,11.765,6,0.667,51,ff403f19-89ef-11e6-8e8d-a45e60e298d3
Al Horford,2018-19,6,0.945,6,1.167,635,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
James Harden,2016-17,6,0.745,4,0.500,805,ff42a0d4-89ef-11e6-9944-a45e60e298d3
Kawhi Leonard,2020-21,6,0.718,6,1.500,836,ff427a33-89ef-11e6-ab99-a45e60e298d3
DeJuan Blair,2013-14,6,3.750,5,1.400,160,ff411c14-89ef-11e6-b163-a45e60e298d3
Paul Pierce,2013-14,6,0.906,6,0.333,662,ff41a038-89ef-11e6-abdf-a45e60e298d3
Jaren Jackson Jr.,2020-21,6,1.617,6,1.500,371,9b2369c7-8445-48db-9fb5-99c10ec4b942
Kendrick Perkins,2013-14,5,0.678,5,0.600,738,ff427f26-89ef-11e6-949e-a45e60e298d3
Danuel House Jr.,2019-20,5,0.883,4,0.000,566,5f053600-9d58-4d87-aaa5-1117ac33da25
Enes Freedom,2018-19,5,0.546,5,1.000,916,ff41d597-89ef-11e6-99f9-a45e60e298d3
LeBron James,2016-17,5,0.340,4,0.500,1470,ff41e9f0-89ef-11e6-87b7-a45e60e298d3
Tiago Splitter,2013-14,5,0.507,4,1.000,986,ff427ab3-89ef-11e6-9d30-a45e60e298d3
Terance Mann,2020-21,5,0.683,5,0.800,732,43dcd2b9-2845-490a-9fc4-d610c433ac4c
Terrence Jones,2013-14,5,1.873,4,1.000,267,ff4141c5-89ef-11e6-bcb1-a45e60e298d3
Victor Oladipo,2021-22,5,0.688,4,2.500,727,ff415fa8-89ef-11e6-bc85-a45e60e298d3
Joakim Noah,2014-15,5,0.686,5,1.200,729,ff42bcf5-89ef-11e6-afa7-a45e60e298d3
LeBron James,2015-16,5,0.326,5,1.000,1536,ff41e9f0-89ef-11e6-87b7-a45e60e298d3
Marcus Smart,2019-20,5,0.391,5,1.400,1280,ff411907-89ef-11e6-9c68-a45e60e298d3
Brook Lopez,2021-22,5,0.734,4,1.250,681,ff423f0c-89ef-11e6-99c1-a45e60e298d3
Taj Gibson,2014-15,5,0.960,5,1.200,521,ff42877a-89ef-11e6-a6cd-a45e60e298d3
Jayson Tatum,2019-20,5,0.366,4,0.500,1366,986b713a-b20b-4eb0-919e-c859d0508af7
Jakob Poeltl,2017-18,5,1.825,5,1.200,274,ca6b7e96-9060-4d5a-8bef-1a8b6ab230ec
Andrew Wiggins,2021-22,5,0.326,5,1.200,1535,ff4187ba-89ef-11e6-9d60-a45e60e298d3
Kevin Durant,2020-21,5,0.512,5,0.400,976,ff42cfdc-89ef-11e6-8347-a45e60e298d3
Danilo Gallinari,2020-21,5,0.563,4,1.750,888,ff41b782-89ef-11e6-a39f-a45e60e298d3
Gordon Hayward,2019-20,5,1.582,4,1.750,316,ff419928-89ef-11e6-9305-a45e60e298d3
Amir Johnson,2016-17,5,1.767,5,0.800,283,ff4157f5-89ef-11e6-be80-a45e60e298d3
Robert Covington,2021-22,5,4.630,5,1.400,108,ff416430-89ef-11e6-88da-a45e60e298d3
LeBron James,2017-18,5,0.287,4,0.000,1742,ff41e9f0-89ef-11e6-87b7-a45e60e298d3
