,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
104,Dewayne Dedmon,2018-19,73,2.149,68,0.783,3397
105,Precious Achiuwa,2020-21,73,4.822,68,0.676,1514
106,Anthony Davis,2016-17,73,1.329,64,0.953,5494
107,P.J. Tucker,2018-19,72,1.278,64,0.844,5635
108,Thomas Bryant,2018-19,72,2.310,67,0.985,3117
109,Patrick Patterson,2020-21,72,6.128,65,0.877,1175
110,Noah Vonleh,2016-17,71,2.835,66,0.896,2504
111,Marc Gasol,2016-17,70,1.449,68,0.721,4831
112,Jeff Green,2018-19,70,1.614,65,0.985,4337
113,Cristiano Felicio,2018-19,70,4.605,66,1.061,1520
114,Grant Williams,2020-21,70,3.004,68,1.191,2330
115,Maxi Kleber,2017-18,69,2.877,68,0.912,2398
116,Miles Bridges,2020-21,69,1.737,65,0.923,3973
117,Anthony Davis,2015-16,68,1.560,61,1.115,4360
118,DeAndre Jordan,2014-15,68,1.233,64,0.875,5513
119,Julius Randle,2016-17,68,1.560,68,1.162,4360
120,Damian Jones,2018-19,68,8.105,60,1.017,839
121,Bismack Biyombo,2016-17,67,1.901,65,0.969,3525
122,JJ Hickson,2014-15,67,2.377,62,0.887,2819
123,Maxi Kleber,2018-19,67,2.185,64,1.094,3066
124,Marvin Bagley III,2020-21,66,2.861,65,1.185,2307
125,Serge Ibaka,2019-20,66,2.132,63,0.873,3096
126,Anthony Davis,2017-18,65,1.140,57,0.807,5704
127,Karl-Anthony Towns,2017-18,65,1.132,60,1.050,5740
128,Clint Capela,2015-16,65,2.186,60,0.633,2974
129,Enes Freedom,2017-18,65,1.797,58,0.729,3618
130,Marcin Gortat,2016-17,65,1.268,59,0.729,5125
131,Jeff Green,2017-18,65,1.738,59,1.017,3739
132,Terrence Jones,2013-14,65,1.583,60,0.800,4107
133,Robin Lopez,2018-19,65,2.019,62,0.887,3219
134,Cody Zeller,2019-20,65,2.497,62,1.290,2603
135,Xavier Tillman,2020-21,65,2.912,59,0.797,2232
136,Robert Covington,2020-21,64,1.396,60,0.983,4583
137,Brook Lopez,2020-21,64,1.590,59,1.119,4026
138,Richaun Holmes,2019-20,64,2.555,59,1.220,2505
139,Bismack Biyombo,2018-19,64,4.048,58,0.881,1581
140,Myles Turner,2017-18,63,1.726,60,1.100,3651
141,Ian Mahinmi,2017-18,63,2.762,57,0.772,2281
142,Jonas Jerebko,2018-19,63,2.493,58,1.207,2527
143,Anthony Davis,2019-20,63,1.408,61,0.951,4476
144,Tyson Chandler,2013-14,63,2.030,59,0.644,3104
145,LaMarcus Aldridge,2016-17,63,1.436,56,1.000,4387
146,Julius Randle,2019-20,63,1.484,57,0.982,4246
147,Alex Len,2018-19,62,1.838,57,1.105,3374
148,Nikola Jokic,2019-20,62,1.342,59,0.797,4621
149,Blake Griffin,2017-18,62,1.562,55,0.745,3970
150,Jordan Bell,2017-18,62,3.688,59,0.983,1681
151,Domantas Sabonis,2017-18,61,1.693,56,1.232,3603
152,Jakob Poeltl,2017-18,61,2.003,57,1.000,3046
153,Al Horford,2017-18,60,1.397,58,1.086,4295
154,Amir Johnson,2017-18,60,2.455,55,0.911,2444
155,Dewayne Dedmon,2016-17,60,2.344,58,1.034,2560
156,Andrea Bargnani,2013-14,60,2.585,55,0.982,2321
157,Thon Maker,2017-18,59,2.446,57,1.035,2412
158,DeAndre Jordan,2013-14,59,1.038,57,0.947,5684
159,Alex Len,2015-16,59,1.598,59,0.966,3692
160,Karl-Anthony Towns,2018-19,59,1.125,57,0.702,5245
161,Nikola Jokic,2017-18,58,1.208,54,1.000,4803
162,Brook Lopez,2016-17,58,1.249,56,1.232,4644
163,Pau Gasol,2017-18,58,1.628,54,0.907,3563
164,Alex Len,2016-17,58,1.819,54,1.000,3188
165,John Henson,2017-18,58,1.496,55,0.909,3876
166,Andre Drummond,2017-18,58,1.109,55,0.927,5232
167,Blake Griffin,2016-17,57,1.380,55,0.855,4130
168,Robin Lopez,2017-18,57,1.667,53,0.925,3420
169,Nikola Vucevic,2016-17,57,1.310,55,1.036,4350
170,Willie Cauley-Stein,2016-17,57,2.040,54,0.907,2794
171,Willy Hernangomez,2018-19,57,3.369,52,1.113,1692
172,Cristiano Felicio,2017-18,57,2.914,52,1.283,1956
173,Bruno Fernando,2019-20,56,3.748,54,1.019,1494
174,Tyson Chandler,2014-15,56,1.241,50,0.760,4512
175,Nikola Jokic,2020-21,56,1.123,52,0.827,4988
176,Bismack Biyombo,2017-18,56,1.870,54,1.185,2995
177,Tyson Chandler,2015-16,56,1.720,54,0.926,3255
178,Serge Ibaka,2013-14,56,1.057,54,1.074,5297
179,John Collins,2019-20,55,1.888,51,1.118,2913
180,Nicolas Batum,2020-21,55,1.493,52,1.192,3684
181,Jerami Grant,2017-18,55,1.701,51,1.196,3234
182,Amir Johnson,2016-17,54,1.687,51,0.863,3201
183,Kyle Kuzma,2018-19,54,1.090,48,0.750,4954
184,Damian Jones,2020-21,54,4.749,52,1.192,1137
185,John Collins,2020-21,54,1.430,50,1.120,3777
186,Willy Hernangomez,2016-17,54,2.033,50,1.080,2656
187,Serge Ibaka,2020-21,54,2.847,48,1.042,1897
188,James Wiseman,2020-21,53,2.935,52,1.038,1806
189,Tristan Thompson,2014-15,53,1.283,48,1.063,4131
190,Draymond Green,2014-15,53,1.038,49,0.755,5107
191,Jaren Jackson Jr.,2019-20,53,1.528,50,0.840,3469
192,James Harden,2019-20,53,1.008,45,0.911,5257
193,Myles Turner,2016-17,53,1.056,49,0.735,5018
194,Channing Frye,2016-17,53,1.907,49,0.755,2779
195,Marc Gasol,2017-18,53,1.132,50,0.980,4681
196,Marcus Morris Sr.,2020-21,53,1.745,50,1.040,3038
197,Bobby Portis,2017-18,53,1.586,50,1.340,3342
198,Robin Lopez,2016-17,52,1.171,49,0.796,4442
199,Al Horford,2016-17,52,1.191,50,0.860,4367
200,Harry Giles III,2018-19,52,2.930,50,0.980,1775
201,Maxi Kleber,2019-20,52,1.345,47,0.957,3866
202,Thomas Robinson,2016-17,52,4.626,51,0.824,1124
203,Maxi Kleber,2020-21,52,1.910,48,1.104,2723
204,JJ Hickson,2013-14,52,1.386,48,0.917,3751
205,Kyle O'Quinn,2016-17,52,2.159,48,1.125,2409
206,Nikola Jokic,2015-16,52,1.527,52,1.038,3405
207,Willie Cauley-Stein,2017-18,51,1.266,49,0.714,4027
208,Tristan Thompson,2020-21,51,1.947,50,1.080,2619
209,DeMarcus Cousins,2015-16,51,1.100,49,0.490,4636
210,Kristaps Porzingis,2016-17,51,1.184,48,0.646,4309
211,Bobby Portis,2019-20,51,1.797,48,0.938,2838
212,Mason Plumlee,2016-17,51,1.186,47,0.851,4300
213,Dwight Powell,2020-21,51,2.617,47,0.660,1949
214,Donatas Motiejunas,2014-15,50,1.265,49,1.143,3953
215,Karl-Anthony Towns,2020-21,50,1.420,49,0.878,3522
216,Enes Freedom,2015-16,50,1.468,46,0.891,3405
217,Markieff Morris,2017-18,50,1.280,47,1.000,3905
218,DeMarcus Cousins,2016-17,50,1.039,47,0.872,4811
219,Nerlens Noel,2020-21,50,1.636,49,0.898,3057
220,Rui Hachimura,2019-20,49,1.601,45,1.111,3061
221,Amar'e Stoudemire,2013-14,49,1.825,46,0.891,2685
222,Blake Griffin,2014-15,49,1.063,45,0.822,4609
223,Larry Nance Jr.,2016-17,49,1.670,42,1.238,2935
224,Eric Paschall,2020-21,49,3.363,43,1.163,1457
225,Chimezie Metu,2020-21,48,4.729,45,1.200,1015
226,Blake Griffin,2013-14,48,0.848,44,0.870,5659
227,Andrew Bogut,2015-16,48,1.605,47,0.660,2990
228,Kristaps Porzingis,2019-20,48,1.300,47,1.106,3691
229,Enes Freedom,2016-17,48,1.586,45,1.089,3027
230,Serge Ibaka,2017-18,48,1.124,43,1.302,4269
231,Larry Nance Jr.,2018-19,48,1.346,44,0.932,3567
232,Jusuf Nurkic,2018-19,47,1.146,41,0.951,4103
233,Josh Smith,2014-15,47,1.018,43,1.273,4618
234,Nikola Jokic,2016-17,47,1.151,45,0.889,4083
235,Marc Gasol,2018-19,47,0.973,45,0.933,4829
236,Dario Saric,2020-21,47,2.664,43,0.837,1764
237,Marreese Speights,2016-17,47,1.858,46,0.978,2529
238,Jakob Poeltl,2020-21,47,1.249,45,0.733,3764
239,Marquese Chriss,2016-17,47,1.324,45,1.333,3549
240,Tarik Black,2016-17,47,2.119,45,1.178,2218
241,Serge Ibaka,2015-16,46,0.914,42,0.905,5032
242,D.J. Wilson,2020-21,46,5.169,42,1.048,890
243,Julius Randle,2018-19,46,0.969,40,1.300,4747
244,Gorgui Dieng,2016-17,46,0.887,45,1.044,5184
245,Ben Simmons,2018-19,46,0.813,44,0.932,5661
246,Terrence Jones,2014-15,46,2.597,45,0.733,1771
247,Marcus Morris Sr.,2018-19,46,1.058,42,1.262,4347
248,Chris Boucher,2020-21,46,1.552,43,0.814,2964
249,Daniel Theis,2017-18,46,2.605,44,0.864,1766
250,Domantas Sabonis,2020-21,45,0.963,42,0.667,4674
251,Marquese Chriss,2018-19,45,4.500,42,1.214,1000
252,  Nene,2015-16,45,2.011,42,1.024,2238
253,Kristaps Porzingis,2020-21,45,1.685,43,1.233,2670
254,Montrezl Harrell,2020-21,45,1.399,42,0.976,3216
255,Kevin Durant,2013-14,45,0.722,43,0.884,6233
256,Henry Sims,2014-15,45,1.630,40,0.725,2761
257,Gorgui Dieng,2020-21,45,3.965,43,0.907,1135
258,LaMarcus Aldridge,2017-18,45,0.927,39,1.026,4853
259,Danilo Gallinari,2018-19,45,1.054,40,0.805,4271
260,Mike Muscala,2018-19,44,1.601,42,1.095,2748
261,LeBron James,2018-19,44,1.068,41,0.854,4120
262,Jonas Valanciunas,2017-18,44,1.265,44,1.045,3479
263,Giannis Antetokounmpo,2020-21,44,1.034,42,0.952,4255
264,Draymond Green,2013-14,44,1.244,44,0.773,3538
265,Nikola Vucevic,2017-18,44,1.265,39,1.205,3479
266,Lauri Markkanen,2018-19,43,1.279,42,1.024,3362
267,James Harden,2018-19,43,0.746,41,0.659,5763
268,Ivica Zubac,2020-21,43,1.324,38,0.842,3248
269,Omari Spellman,2019-20,43,2.357,40,1.075,1824
270,Daniel Theis,2018-19,43,2.269,43,0.767,1895
271,Anthony Davis,2018-19,43,1.089,38,0.947,3947
272,Richaun Holmes,2016-17,43,1.745,41,0.902,2464
273,JaMychal Green,2019-20,43,1.556,41,0.902,2764
274,Markieff Morris,2018-19,43,1.615,40,0.775,2662
275,Quincy Acy,2016-17,43,3.819,41,0.756,1126
276,Thaddeus Young,2014-15,43,0.912,41,0.585,4717
277,Tyson Chandler,2016-17,42,1.673,41,0.829,2511
278,Daniel Theis,2020-21,42,1.300,39,0.923,3231
279,Al Horford,2019-20,42,1.008,40,1.200,4166
280,Frank Kaminsky,2019-20,42,2.657,39,0.821,1581
281,Deandre Ayton,2019-20,42,1.629,39,1.231,2578
282,Derrick Favors,2017-18,41,0.966,38,0.895,4244
283,Mike Scott,2018-19,41,1.375,39,1.128,2981
284,Dwight Howard,2019-20,41,1.541,41,1.171,2660
285,Jusuf Nurkic,2014-15,41,1.863,35,0.714,2201
286,Kosta Koufos,2017-18,41,1.517,35,0.971,2702
287,Jusuf Nurkic,2017-18,41,0.977,38,0.816,4197
288,Pascal Siakam,2018-19,41,0.782,39,0.897,5241
289,Al Horford,2015-16,41,0.774,40,0.725,5298
290,Ekpe Udoh,2017-18,41,2.553,38,1.158,1606
291,Ryan Anderson,2016-17,41,0.946,39,0.795,4334
292,Myles Turner,2020-21,41,1.367,37,0.730,2999
293,Kenneth Faried,2016-17,40,1.534,37,1.027,2608
294,Gorgui Dieng,2018-19,40,1.855,38,1.053,2156
295,Willie Cauley-Stein,2020-21,40,2.191,37,0.838,1826
296,Jusuf Nurkic,2016-17,40,1.438,38,1.184,2782
297,Luke Kornet,2018-19,40,2.581,36,0.917,1550
298,Jarrett Allen,2020-21,40,1.058,39,1.077,3780
299,Ryan Anderson,2014-15,40,1.260,40,0.800,3174
300,Brandon Bass,2013-14,40,0.911,39,0.974,4389
301,Bam Adebayo,2018-19,40,1.035,38,0.789,3865
302,Aron Baynes,2017-18,40,1.417,38,1.000,2823
303,Joakim Noah,2016-17,40,1.982,39,0.795,2018
304,Andre Drummond,2019-20,40,1.074,40,1.100,3723
305,Clint Capela,2020-21,39,1.009,38,0.947,3866
306,Andre Drummond,2016-17,39,0.829,35,0.714,4702
307,Jarrett Allen,2019-20,39,1.015,35,1.257,3844
308,Carmelo Anthony,2017-18,39,0.793,36,0.500,4917
309,Serge Ibaka,2014-15,39,0.935,35,0.743,4169
310,Meyers Leonard,2016-17,39,1.594,36,1.000,2446
311,Dario Saric,2016-17,39,0.894,37,0.730,4362
312,JaVale McGee,2016-17,38,2.425,38,0.921,1567
313,Kelly Olynyk,2016-17,38,1.235,38,1.132,3078
314,LaMarcus Aldridge,2019-20,38,1.082,33,0.909,3512
315,David Lee,2016-17,38,1.303,35,1.171,2917
316,Tristan Thompson,2019-20,38,1.081,35,1.000,3514
317,Grant Williams,2019-20,38,1.742,37,0.865,2182
318,Thomas Bryant,2019-20,38,1.566,35,1.143,2427
319,Dwight Howard,2013-14,38,0.807,35,0.971,4710
320,Markieff Morris,2016-17,38,0.792,36,0.889,4797
321,Kenneth Faried,2015-16,38,1.135,36,1.111,3349
322,Kyle Kuzma,2017-18,38,0.763,36,0.806,4980
323,Jerami Grant,2018-19,38,0.688,35,0.972,5527
324,Giannis Antetokounmpo,2017-18,38,0.704,35,0.971,5401
325,Jaylen Brown,2020-21,37,0.901,32,1.000,4107
326,Andray Blatche,2013-14,37,1.227,33,1.182,3016
327,Frank Kaminsky,2018-19,37,2.436,35,0.914,1519
328,Christian Wood,2019-20,37,1.398,36,1.167,2646
