,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
104,Steven Adams,2020-21,1268,38.979,1060,0.990,3253
105,Myles Turner,2017-18,1267,34.703,1073,0.962,3651
106,Enes Freedom,2017-18,1247,34.467,1098,0.959,3618
107,Robin Lopez,2020-21,1238,43.515,1048,0.957,2845
108,Nikola Jokic,2016-17,1237,30.296,1093,0.951,4083
109,Bismack Biyombo,2016-17,1220,34.610,1039,0.931,3525
110,Hassan Whiteside,2018-19,1219,35.842,1026,0.915,3401
111,Montrezl Harrell,2019-20,1217,32.741,1058,0.916,3717
112,Brook Lopez,2017-18,1214,33.685,1037,0.932,3604
113,DeMarcus Cousins,2015-16,1207,26.035,1074,0.842,4636
114,Nikola Vucevic,2017-18,1206,34.665,1025,0.968,3479
115,Pau Gasol,2017-18,1205,33.820,1041,0.915,3563
116,Roy Hibbert,2014-15,1200,32.823,1042,0.837,3656
117,Gorgui Dieng,2016-17,1200,23.148,1016,0.934,5184
118,Ian Mahinmi,2015-16,1199,32.670,1006,0.844,3670
119,Nikola Vucevic,2015-16,1193,30.126,1023,0.930,3960
120,Omer Asik,2014-15,1189,31.639,1027,0.863,3758
121,Robin Lopez,2017-18,1185,34.649,1030,0.942,3420
122,DeMarcus Cousins,2014-15,1180,29.500,1036,0.902,4000
123,Karl-Anthony Towns,2020-21,1174,33.333,1005,0.936,3522
124,Tim Duncan,2014-15,1172,27.199,1027,0.805,4309
125,Jonas Valanciunas,2013-14,1169,27.218,994,0.927,4295
126,Alex Len,2018-19,1160,34.381,984,0.968,3374
127,Anthony Davis,2016-17,1156,21.041,1010,0.910,5494
128,DeMarcus Cousins,2013-14,1155,26.238,1001,0.898,4402
129,DeMarcus Cousins,2016-17,1155,24.007,971,0.945,4811
130,Joel Embiid,2019-20,1150,37.205,965,0.910,3091
131,Cody Zeller,2016-17,1149,33.884,992,0.901,3391
132,Domantas Sabonis,2018-19,1144,30.786,935,0.913,3716
133,Anthony Davis,2018-19,1143,28.959,955,0.958,3947
134,LaMarcus Aldridge,2019-20,1139,32.432,984,0.966,3512
135,Jarrett Allen,2020-21,1135,30.026,984,1.001,3780
136,Nerlens Noel,2020-21,1127,36.866,938,0.952,3057
137,Dewayne Dedmon,2018-19,1126,33.147,972,0.963,3397
138,Wendell Carter Jr.,2020-21,1124,39.915,930,0.966,2816
139,Isaiah Stewart,2020-21,1124,38.063,959,0.957,2953
140,Gorgui Dieng,2014-15,1121,26.234,962,0.941,4273
141,Montrezl Harrell,2020-21,1116,34.701,945,0.949,3216
142,Rudy Gobert,2014-15,1111,27.452,964,0.841,4047
143,Roy Hibbert,2015-16,1107,29.694,985,0.983,3728
144,Andrew Bogut,2014-15,1099,34.408,919,0.844,3194
145,Al Horford,2014-15,1090,24.179,942,0.865,4508
146,LaMarcus Aldridge,2017-18,1090,22.460,930,0.912,4853
147,Enes Freedom,2015-16,1090,32.012,927,0.890,3405
148,Jonas Valanciunas,2017-18,1088,31.273,941,0.948,3479
149,Nerlens Noel,2014-15,1082,23.738,911,0.885,4558
150,Mason Plumlee,2015-16,1081,25.849,967,0.958,4182
151,Bam Adebayo,2018-19,1078,27.891,929,0.870,3865
152,Thomas Bryant,2018-19,1077,34.552,927,0.958,3117
153,Tristan Thompson,2016-17,1076,23.110,959,0.888,4656
154,Tim Duncan,2013-14,1073,25.445,967,0.836,4217
155,Tyson Chandler,2014-15,1071,23.737,933,0.839,4512
156,Daniel Theis,2019-20,1069,33.438,901,0.907,3197
157,Bismack Biyombo,2015-16,1068,31.146,912,0.868,3429
158,Domantas Sabonis,2017-18,1067,29.614,866,0.892,3603
159,Chris Bosh,2013-14,1062,22.241,871,0.829,4775
160,Alex Len,2015-16,1058,28.657,920,0.872,3692
161,Derrick Favors,2019-20,1052,39.668,861,0.893,2652
162,Rudy Gobert,2015-16,1041,28.717,904,0.864,3625
163,Marc Gasol,2015-16,1040,30.472,878,0.919,3413
164,Mason Plumlee,2020-21,1038,34.416,907,0.975,3016
165,Kevon Looney,2018-19,1037,33.057,904,0.935,3137
166,Zaza Pachulia,2016-17,1037,39.295,886,0.885,2639
167,Jared Sullinger,2015-16,1034,26.948,882,0.921,3837
168,Andrew Bogut,2015-16,1026,34.314,890,0.791,2990
169,Ivica Zubac,2019-20,1025,37.205,861,0.921,2755
170,Enes Freedom,2016-17,1025,33.862,878,0.978,3027
171,Enes Freedom,2013-14,1021,25.398,902,0.920,4020
172,Alex Len,2017-18,1018,34.947,847,0.908,2913
173,Bam Adebayo,2020-21,1017,23.890,885,0.909,4257
174,Timofey Mozgov,2014-15,1013,25.382,898,0.804,3991
175,Anthony Davis,2017-18,1010,17.707,853,0.859,5704
