Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total),SSI Player ID
Marcin Gortat,2013-14,188,27.566,152,0.647,682,ff4206b0-89ef-11e6-a91d-a45e60e298d3
LaMarcus Aldridge,2016-17,187,18.406,162,0.877,1016,ff4291dc-89ef-11e6-8416-a45e60e298d3
Mason Plumlee,2015-16,186,30.195,156,0.962,616,ff42c76e-89ef-11e6-a19d-a45e60e298d3
Marc Gasol,2019-20,186,40.347,162,0.883,461,ff420730-89ef-11e6-bafd-a45e60e298d3
Rudy Gobert,2020-21,185,24.667,161,0.994,750,ff42a142-89ef-11e6-8c3b-a45e60e298d3
Derrick Favors,2016-17,184,43.602,151,1.175,422,ff4036a1-89ef-11e6-a631-a45e60e298d3
Al Horford,2015-16,182,27.871,148,0.882,653,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Pau Gasol,2016-17,182,26.187,165,1.006,695,ff4292c5-89ef-11e6-9469-a45e60e298d3
LaMarcus Aldridge,2013-14,182,21.362,152,0.891,852,ff4291dc-89ef-11e6-8416-a45e60e298d3
Clint Capela,2016-17,182,32.384,157,1.013,562,ff414a2b-89ef-11e6-a46a-a45e60e298d3
Giannis Antetokounmpo,2021-22,179,19.627,151,1.164,912,ff423b75-89ef-11e6-a507-a45e60e298d3
Steven Adams,2017-18,179,44.307,153,0.884,404,ff420623-89ef-11e6-9b37-a45e60e298d3
Festus Ezeli,2015-16,177,42.344,143,0.904,418,ff41ab21-89ef-11e6-b0b1-a45e60e298d3
Zaza Pachulia,2016-17,170,39.171,128,0.820,434,ff403f19-89ef-11e6-8e8d-a45e60e298d3
Larry Nance Jr.,2017-18,169,28.790,140,0.957,587,ff410bab-89ef-11e6-856b-a45e60e298d3
Marc Gasol,2014-15,168,20.922,144,0.829,803,ff420730-89ef-11e6-bafd-a45e60e298d3
Larry Nance Jr.,2021-22,168,52.012,137,1.036,323,ff410bab-89ef-11e6-856b-a45e60e298d3
Karl-Anthony Towns,2017-18,166,50.303,144,1.020,330,ff417a73-89ef-11e6-a33e-a45e60e298d3
Ivica Zubac,2019-20,166,25.938,135,0.986,640,4364572d-1c61-49fe-a083-495a2ebe45d5
Josh McRoberts,2015-16,164,65.863,119,0.893,249,ff416599-89ef-11e6-a8f4-a45e60e298d3
DeAndre Jordan,2015-16,163,42.010,146,0.791,388,ff401ff8-89ef-11e6-99ab-a45e60e298d3
LaMarcus Aldridge,2018-19,162,34.395,124,0.892,471,ff4291dc-89ef-11e6-8416-a45e60e298d3
Jonas Valanciunas,2016-17,162,37.327,129,0.924,434,ff429666-89ef-11e6-a005-a45e60e298d3
Steven Adams,2016-17,161,50.470,133,0.867,319,ff420623-89ef-11e6-9b37-a45e60e298d3
Marcin Gortat,2017-18,159,50.962,133,1.060,312,ff4206b0-89ef-11e6-a91d-a45e60e298d3
Enes Freedom,2015-16,159,25.278,136,0.870,629,ff41d597-89ef-11e6-99f9-a45e60e298d3
Steven Adams,2018-19,157,47.006,131,1.172,334,ff420623-89ef-11e6-9b37-a45e60e298d3
Jusuf Nurkic,2020-21,157,45.640,124,0.928,344,ff42622b-89ef-11e6-9088-a45e60e298d3
Zach Randolph,2014-15,154,20.896,128,0.855,737,ff423145-89ef-11e6-8a8a-a45e60e298d3
Kevin Love,2015-16,152,13.333,134,0.904,1140,ff42aecf-89ef-11e6-8cb8-a45e60e298d3
Serge Ibaka,2015-16,152,12.688,121,0.992,1198,ff41e09c-89ef-11e6-a26f-a45e60e298d3
Andray Blatche,2013-14,151,47.785,127,0.882,316,ff41728f-89ef-11e6-a77b-a45e60e298d3
Draymond Green,2018-19,151,8.663,125,0.810,1743,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Andrew Bogut,2018-19,151,41.713,118,0.850,362,ff421e2b-89ef-11e6-a705-a45e60e298d3
Pero Antic,2014-15,151,38.228,128,0.992,395,ff411d4a-89ef-11e6-968b-a45e60e298d3
Dwight Howard,2013-14,149,33.864,129,0.869,440,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Joel Embiid,2018-19,147,21.940,125,0.929,670,ff42281e-89ef-11e6-8097-a45e60e298d3
David West,2016-17,145,33.181,120,0.842,437,ff42cc75-89ef-11e6-a9c8-a45e60e298d3
Channing Frye,2015-16,144,32.143,107,0.780,448,ff402140-89ef-11e6-aa13-a45e60e298d3
Al Horford,2018-19,143,22.520,112,0.765,635,ff427c2e-89ef-11e6-8d2a-a45e60e298d3
Zach Collins,2018-19,143,26.580,118,0.958,538,e80fe1d3-0b98-4c13-b6e5-da024cc77ae5
Marreese Speights,2015-16,142,35.236,122,0.951,403,ff42334c-89ef-11e6-86f9-a45e60e298d3
Dirk Nowitzki,2013-14,140,28.283,115,0.983,495,ff411411-89ef-11e6-8f83-a45e60e298d3
Bobby Portis,2020-21,140,19.074,118,0.924,734,ff41f651-89ef-11e6-95ed-a45e60e298d3
Joel Embiid,2017-18,140,25.180,124,0.935,556,ff42281e-89ef-11e6-8097-a45e60e298d3
Jakob Poeltl,2018-19,139,40.882,124,0.871,340,ca6b7e96-9060-4d5a-8bef-1a8b6ab230ec
JaVale McGee,2017-18,138,44.373,115,0.983,311,ff41d4eb-89ef-11e6-8055-a45e60e298d3
Draymond Green,2015-16,138,7.814,122,0.861,1766,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Tim Duncan,2015-16,137,33.415,117,0.842,410,ff42a05c-89ef-11e6-a675-a45e60e298d3
DeAndre Jordan,2013-14,136,15.650,124,0.944,869,ff401ff8-89ef-11e6-99ab-a45e60e298d3
Giannis Antetokounmpo,2020-21,136,8.532,119,0.883,1594,ff423b75-89ef-11e6-a507-a45e60e298d3
Kevon Looney,2017-18,134,16.771,120,0.787,799,ff4170c2-89ef-11e6-83e1-a45e60e298d3
Draymond Green,2021-22,133,9.419,113,0.781,1412,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Ed Davis,2015-16,132,32.432,105,1.074,407,ff41853a-89ef-11e6-9ab7-a45e60e298d3
Joakim Noah,2014-15,131,17.970,115,0.957,729,ff42bcf5-89ef-11e6-afa7-a45e60e298d3
Jonas Valanciunas,2017-18,130,26.971,107,0.855,482,ff429666-89ef-11e6-a005-a45e60e298d3
Dwight Howard,2020-21,129,41.613,109,0.965,310,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Draymond Green,2017-18,128,7.848,106,0.934,1631,ff41a38c-89ef-11e6-b14d-a45e60e298d3
Anthony Davis,2019-20,128,8.306,111,0.804,1541,ff41df59-89ef-11e6-810a-a45e60e298d3
Draymond Green,2016-17,128,10.356,109,0.798,1236,ff41a38c-89ef-11e6-b14d-a45e60e298d3
  Nene,2014-15,127,25.813,101,0.723,492,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Dwight Howard,2016-17,123,39.423,100,1.118,312,ff418bd7-89ef-11e6-9e3d-a45e60e298d3
Taj Gibson,2020-21,122,46.212,111,1.071,264,ff42877a-89ef-11e6-a6cd-a45e60e298d3
Robin Lopez,2016-17,122,40.132,105,1.111,304,ff425eb3-89ef-11e6-9fb5-a45e60e298d3
Onyeka Okongwu,2021-22,122,41.077,105,0.906,297,33d4de56-c864-4043-857f-8cd9a2074698
Jeff Green,2019-20,120,17.316,102,0.757,693,ff4177f3-89ef-11e6-95d8-a45e60e298d3
Greg Monroe,2016-17,118,46.457,82,0.812,254,ff4279b8-89ef-11e6-9faa-a45e60e298d3
Carmelo Anthony,2017-18,117,29.471,96,0.959,397,ff41a705-89ef-11e6-8b57-a45e60e298d3
Tim Duncan,2014-15,116,24.167,104,0.821,480,ff42a05c-89ef-11e6-a675-a45e60e298d3
  Nene,2016-17,116,34.835,94,0.845,333,ff4295ee-89ef-11e6-8d6a-a45e60e298d3
Festus Ezeli,2014-15,115,32.033,97,0.810,359,ff41ab21-89ef-11e6-b0b1-a45e60e298d3
Ian Mahinmi,2013-14,115,25.612,88,0.835,449,ff4231c5-89ef-11e6-9db4-a45e60e298d3
Omer Asik,2013-14,114,37.500,94,1.021,304,ff41a7d7-89ef-11e6-a4f9-a45e60e298d3
Tyson Chandler,2014-15,114,33.628,91,0.887,339,ff41601e-89ef-11e6-a4cc-a45e60e298d3
Serge Ibaka,2019-20,113,21.648,94,1.128,522,ff41e09c-89ef-11e6-a26f-a45e60e298d3
