Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Points Per Direct,Ballhandler FGA Per Direct Pick,Ballhandler AST Per Direct Pick,Ballhandler PASS Per Direct Pick,Ballhandler SFL Per Direct Pick,Ballhandler TOV Per Direct Pick,Screener FGA Per Direct Pick,Screener AST Per Direct Pick,Screener PASS Per Direct Pick,Screener SFL Per Direct Pick,Screener TOV Per Direct Pick,Screen Die-On Percentage,Screen Contact Percentage,Possessions (Total)
2014-15,101215,41.166,81288,0.877,0.886,0.379,0.168,0.494,0.031,0.089,0.155,0.021,0.054,0.019,0.019,2.43,56.97,245868
2013-14,97328,39.965,77203,0.881,0.889,0.371,0.173,0.504,0.025,0.090,0.163,0.024,0.060,0.016,0.022,2.33,58.94,243535
2015-16,95547,38.083,78663,0.892,0.907,0.405,0.161,0.466,0.033,0.087,0.155,0.021,0.054,0.019,0.019,2.96,57.82,250890
2016-17,93749,37.467,77847,0.928,0.945,0.406,0.162,0.464,0.037,0.086,0.153,0.022,0.055,0.017,0.018,3.13,57.60,250218
2017-18,89676,35.888,74218,0.931,0.943,0.425,0.161,0.449,0.030,0.088,0.156,0.021,0.050,0.017,0.020,3.68,59.19,249875
2018-19,92895,35.591,77925,0.943,0.965,0.444,0.158,0.430,0.033,0.083,0.150,0.021,0.049,0.018,0.017,3.33,60.23,261009
2019-20,72775,31.903,61271,0.952,0.969,0.466,0.149,0.404,0.036,0.084,0.139,0.020,0.046,0.015,0.016,3.29,62.22,228113
2020-21,72346,31.246,61294,0.961,0.975,0.465,0.152,0.410,0.034,0.083,0.137,0.018,0.043,0.016,0.016,3.04,61.64,231538
2021-22,75774,29.277,64032,0.970,0.987,0.441,0.162,0.437,0.031,0.083,0.144,0.023,0.053,0.017,0.017,2.66,60.21,258816
